Date,Total Return
1/1/1989,0.073198655
2/1/1989,-0.024902109
3/1/1989,0.023315972
4/1/1989,0.051921918
5/1/1989,0.040454782
6/1/1989,-0.005656084
7/1/1989,0.09029724
8/1/1989,0.019530166
9/1/1989,-0.004045573
10/1/1989,-0.023215164
11/1/1989,0.020379569
12/1/1989,0.024020927
1/1/1990,-0.067130549
2/1/1990,0.012883534
3/1/1990,0.026499303
4/1/1990,-0.024945633
5/1/1990,0.09748615
6/1/1990,-0.006754629
7/1/1990,-0.003195787
8/1/1990,-0.090384518
9/1/1990,-0.048667642
10/1/1990,-0.004268066
11/1/1990,0.064652479
12/1/1990,0.027846875
1/1/1991,0.043549247
2/1/1991,0.071525313
3/1/1991,0.024204564
4/1/1991,0.002375128
5/1/1991,0.04314857
6/1/1991,-0.045815881
7/1/1991,0.046611247
8/1/1991,0.023677935
9/1/1991,-0.0167311
10/1/1991,0.013445443
11/1/1991,-0.040291666
12/1/1991,0.11435608
1/1/1992,-0.018618504
2/1/1992,0.01293817
3/1/1992,-0.019442563
4/1/1992,0.029367752
5/1/1992,0.004883129
6/1/1992,-0.014867663
7/1/1992,0.04084715
8/1/1992,-0.020469063
9/1/1992,0.011755728
10/1/1992,0.003459317
11/1/1992,0.034047833
12/1/1992,0.012276396
1/1/1993,0.008349795
2/1/1993,0.013641063
3/1/1993,0.02109582
4/1/1993,-0.024168324
5/1/1993,0.026745288
6/1/1993,0.002927258
7/1/1993,-0.004027144
8/1/1993,0.037947962
9/1/1993,-0.007665877
10/1/1993,0.020690382
11/1/1993,-0.009544536
12/1/1993,0.012094618
1/1/1994,0.034002125
2/1/1994,-0.027148033
3/1/1994,-0.043599179
4/1/1994,0.012823468
5/1/1994,0.016418068
6/1/1994,-0.024504625
7/1/1994,0.032825629
8/1/1994,0.041006739
9/1/1994,-0.024448084
10/1/1994,0.0224557
11/1/1994,-0.036417378
12/1/1994,0.014842575
1/1/1995,0.025933182
2/1/1995,0.038957755
3/1/1995,0.029511913
4/1/1995,0.02944152
5/1/1995,0.039977859
6/1/1995,0.023227308
7/1/1995,0.033161404
8/1/1995,0.002517394
9/1/1995,0.042200273
10/1/1995,-0.003573939
11/1/1995,0.043887671
12/1/1995,0.019264636
1/1/1996,0.034038714
2/1/1996,0.009267432
3/1/1996,0.009629878
4/1/1996,0.014738468
5/1/1996,0.025789723
6/1/1996,0.003821856
7/1/1996,-0.044185307
8/1/1996,0.02109231
9/1/1996,0.056294472
10/1/1996,0.027576048
11/1/1996,0.075582409
12/1/1996,-0.019807155
1/1/1997,0.062470443
2/1/1997,0.007837704
3/1/1997,-0.0410893
4/1/1997,0.059699951
5/1/1997,0.060885178
6/1/1997,0.044804394
7/1/1997,0.079568263
8/1/1997,-0.056023056
9/1/1997,0.054761488
10/1/1997,-0.033392499
11/1/1997,0.046288094
12/1/1997,0.017174487
1/1/1998,0.011063885
2/1/1998,0.072122151
3/1/1998,0.051211006
4/1/1998,0.010060821
5/1/1998,-0.01719195
6/1/1998,0.040621061
7/1/1998,-0.010648406
8/1/1998,-0.144579792
9/1/1998,0.064062148
10/1/1998,0.081341371
11/1/1998,0.060613381
12/1/1998,0.057624342
1/1/1999,0.041814094
2/1/1999,-0.03107754
3/1/1999,0.040005422
4/1/1999,0.038728975
5/1/1999,-0.023617469
6/1/1999,0.055497472
7/1/1999,-0.031223678
8/1/1999,-0.004944567
9/1/1999,-0.027415571
10/1/1999,0.063281774
11/1/1999,0.020326697
12/1/1999,0.058895663
1/1/2000,-0.050242434
2/1/2000,-0.018928643
3/1/2000,0.097828516
4/1/2000,-0.030085678
5/1/2000,-0.020518074
6/1/2000,0.024653803
7/1/2000,-0.015634689
8/1/2000,0.062113875
9/1/2000,-0.052793383
10/1/2000,-0.004224048
11/1/2000,-0.07883984
12/1/2000,0.00489491
1/1/2001,0.035474648
2/1/2001,-0.091177677
